[*] Language: python (python)

  Review queue for all:
  file                                                                                              | queue_type         | priority_score | rationale                                    
  3party/json-develop/tests/cmake_target_include_directories/project/main.cpp                       | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/src/unit-constructor2.cpp                                               | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/src/unit-locale-cpp.cpp                                                 | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/src/unit-udt_macro.cpp                                                  | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/thirdparty/Fuzzer/FuzzerCorpus.h                                        | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/thirdparty/Fuzzer/FuzzerDictionary.h                                    | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/thirdparty/Fuzzer/FuzzerDriver.cpp                                      | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/thirdparty/Fuzzer/FuzzerIO.cpp                                          | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/thirdparty/Fuzzer/FuzzerIOPosix.cpp                                     | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/thirdparty/Fuzzer/FuzzerIOWindows.cpp                                   | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/thirdparty/Fuzzer/FuzzerInternal.h                                      | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/thirdparty/Fuzzer/FuzzerMerge.cpp                                       | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/json-develop/tests/thirdparty/Fuzzer/FuzzerTracePC.cpp                                     | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  tests/ConfigFIleTests.cpp                                                                         | high_gain_low_risk | 90             | gain=8 risk=0 coverage=50                    
  3party/grpc/build/windows/Debug/include/google/protobuf/compiler/rust/crate_mapping.h             | audit_gap          | 89             | risk=9 coverage=33 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/grpc/grpc_crl_provider.h                                  | audit_gap          | 89             | risk=9 coverage=33 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/grpcpp/impl/codegen/create_auth_context.h                 | audit_gap          | 89             | risk=9 coverage=33 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/grpcpp/impl/codegen/security/auth_context.h               | audit_gap          | 89             | risk=9 coverage=33 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/grpcpp/impl/create_auth_context.h                         | audit_gap          | 89             | risk=9 coverage=33 crash=0 null=0            
  3party/grpc/build/windows/Release/include/google/protobuf/compiler/rust/crate_mapping.h           | audit_gap          | 89             | risk=9 coverage=33 crash=0 null=0            
  3party/grpc/build/windows/Release/include/grpc/grpc_crl_provider.h                                | audit_gap          | 89             | risk=9 coverage=33 crash=0 null=0            
  3party/grpc/build/windows/Release/include/grpcpp/impl/codegen/create_auth_context.h               | audit_gap          | 89             | risk=9 coverage=33 crash=0 null=0            
  3party/grpc/build/windows/Release/include/grpcpp/impl/codegen/security/auth_context.h             | audit_gap          | 89             | risk=9 coverage=33 crash=0 null=0            
  3party/grpc/build/windows/Release/include/grpcpp/impl/create_auth_context.h                       | audit_gap          | 89             | risk=9 coverage=33 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/google/protobuf/testing/file.h                            | high_gain_low_risk | 89             | gain=9 risk=2 coverage=50                    
  3party/grpc/build/windows/Release/include/google/protobuf/testing/file.h                          | high_gain_low_risk | 89             | gain=9 risk=2 coverage=50                    
  3party/json-develop/tests/src/unit-diagnostic-positions-only.cpp                                  | high_gain_low_risk | 89             | gain=8 risk=0 coverage=49                    
  3party/json-develop/tests/src/unit-diagnostic-positions.cpp                                       | high_gain_low_risk | 89             | gain=8 risk=0 coverage=49                    
  3party/grpc/build/windows/Debug/include/absl/base/internal/exception_safety_testing.h             | high_gain_low_risk | 88             | gain=8 risk=0 coverage=48                    
  3party/grpc/build/windows/Release/include/absl/base/internal/exception_safety_testing.h           | high_gain_low_risk | 88             | gain=8 risk=0 coverage=48                    
  3party/json-develop/tests/src/unit-udt.cpp                                                        | high_gain_low_risk | 88             | gain=8 risk=0 coverage=48                    
  3party/json-develop/tests/src/unit-unicode1.cpp                                                   | high_gain_low_risk | 88             | gain=8 risk=0 coverage=48                    
  3party/json-develop/include/nlohmann/detail/output/output_adapters.hpp                            | untested_hotspot   | 88             | gain=9 risk=3 tested_functions=0 coverage=20 
  3party/grpc/build/windows/Debug/include/absl/base/internal/spinlock_wait.h                        | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/google/protobuf/compiler/objectivec/import_writer.h       | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/grpc++/impl/codegen/create_auth_context.h                 | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/grpc++/impl/codegen/security/auth_context.h               | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/grpc++/security/auth_context.h                            | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/grpc++/security/auth_metadata_processor.h                 | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/grpc/grpc_security.h                                      | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/grpc/load_reporting.h                                     | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Debug/include/grpcpp/security/alts_context.h                            | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Release/include/absl/base/internal/spinlock_wait.h                      | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Release/include/google/protobuf/compiler/objectivec/import_writer.h     | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Release/include/grpc++/impl/codegen/create_auth_context.h               | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Release/include/grpc++/impl/codegen/security/auth_context.h             | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Release/include/grpc++/security/auth_context.h                          | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Release/include/grpc++/security/auth_metadata_processor.h               | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Release/include/grpc/grpc_security.h                                    | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Release/include/grpc/load_reporting.h                                   | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/grpc/build/windows/Release/include/grpcpp/security/alts_context.h                          | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  ToolsForAI/session_manager.py                                                                     | audit_gap          | 87             | risk=9 coverage=35 crash=0 null=0            
  3party/easyloggingpp/samples/OpenGL/Cube/main.cpp                                                 | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/easyloggingpp/samples/Qt/file-splitter-joiner/partprocessor.h                              | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/easyloggingpp/samples/gtkmm/sigc++.cpp                                                     | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/easyloggingpp/samples/send-to-network/network-logger.cpp                                   | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/cleanup/cleanup.h                                    | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/container/internal/compressed_tuple.h                | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/container/internal/tracked.h                         | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/debugging/internal/elf_mem_image.h                   | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/flags/internal/path_util.h                           | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/hash/internal/spy_hash_state.h                       | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/log/internal/vlog_config.h                           | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/log/log_sink.h                                       | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/log/log_sink_registry.h                              | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/status/internal/statusor_internal.h                  | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/strings/internal/cord_rep_btree_navigator.h          | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/strings/internal/cord_rep_crc.h                      | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/strings/internal/cordz_update_scope.h                | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/strings/internal/cordz_update_tracker.h              | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/strings/internal/str_format/constexpr_parser.h       | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/strings/internal/str_format/parser.h                 | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/strings/internal/str_join_internal.h                 | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/absl/synchronization/internal/graphcycles.h               | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/grpc/support/json.h                                       | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/grpc/support/sync.h                                       | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/grpcpp/ext/health_check_service_server_builder_option.h   | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/grpcpp/generic/callback_generic_service.h                 | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/grpcpp/impl/generic_stub_internal.h                       | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/grpcpp/impl/server_builder_option.h                       | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/grpcpp/impl/server_builder_plugin.h                       | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/grpcpp/impl/service_type.h                                | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/grpcpp/security/tls_certificate_provider.h                | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/grpcpp/security/tls_credentials_options.h                 | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Debug/include/re2/stringpiece.h                                         | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/cleanup/cleanup.h                                  | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/container/internal/compressed_tuple.h              | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/container/internal/tracked.h                       | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/debugging/internal/elf_mem_image.h                 | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/flags/internal/path_util.h                         | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/hash/internal/spy_hash_state.h                     | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/log/internal/vlog_config.h                         | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/log/log_sink.h                                     | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/log/log_sink_registry.h                            | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/status/internal/statusor_internal.h                | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/strings/internal/cord_rep_btree_navigator.h        | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/strings/internal/cord_rep_crc.h                    | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/strings/internal/cordz_update_scope.h              | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/strings/internal/cordz_update_tracker.h            | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/strings/internal/str_format/constexpr_parser.h     | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/strings/internal/str_format/parser.h               | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/strings/internal/str_join_internal.h               | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/absl/synchronization/internal/graphcycles.h             | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/grpc/support/json.h                                     | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/grpc/support/sync.h                                     | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    
  3party/grpc/build/windows/Release/include/grpcpp/ext/health_check_service_server_builder_option.h | high_gain_low_risk | 87             | gain=8 risk=1 coverage=50                    

  (120 results)
